MCDA The Ocean Cleanup Alternatives;;;;;;
Stakeholder;Criteria;Modular Fleet;Anchored Barrier Array;Autonomous Skimmer Vessels;System 03 (current);Criteria_Weight
The Ocean Cleanup;Plastic removal efficiency (kg per time);70;40;80;100;0.35
The Ocean Cleanup;Cost per kg removed;40;80;30;90;0.25
The Ocean Cleanup;Scalability;80;50;60;70;0.2
The Ocean Cleanup;Ecological/bycatch impact;60;70;40;70;0.15
The Ocean Cleanup;Public awareness;50;50;50;50;0.05
North Pacific commercial fishers;Fishing ground access;50;60;40;55;0.4
North Pacific commercial fishers;Gear conflict / entanglement risk;60;40;30;50;0.35
North Pacific commercial fishers;Vessel traffic disruption;60;80;30;60;0.25
Investors/donors;Public awareness;70;40;90;85;0.4
Investors/donors;Cost per kg removed;50;70;30;60;0.35
Investors/donors;Scalability;80;50;60;80;0.25
Marine conservation advocates;Ecological/bycatch risk;60;70;40;65;0.4
Marine conservation advocates;Net environmental benefit;70;50;50;75;0.4
Marine conservation advocates;Monitoring;60;60;70;75;0.2
Citizens;Beach/coastal cleanliness benefit;50;50;40;55;0.4
Citizens;Plastic removal efficiency (health);70;40;90;90;0.35
Citizens;Ecological/bycatch risk;50;70;30;65;0.25
